id	NY AGI of All Returns	Taxable Income of All Returns
20206	66703.39	65412.05
20207	1457346.75	1109160.00
20208	-31723.71	299.34
20209	18373.24	2557.36
20210	60473.65	20823.52
20211	84191.74	46315.58
20212	91976.07	60282.61
20213	90453.02	64518.09
20214	88776.59	65868.43
20215	123836.95	94772.79
20216	180198.97	144510.70
20217	341147.31	288083.84
20218	55726.74	49036.05
20219	111410.89	101903.70
20220	273953.59	265904.03
20221	1488795.00	1204876.00
20222	-11739.55	246.61
20223	13443.46	2098.66
20224	47027.59	16625.56
20225	67455.42	38052.64
20226	70254.38	46544.10
20227	69928.42	50286.01
20228	67174.61	50333.52
20229	91582.44	70792.36
20230	125214.33	100874.88
20231	189553.56	161290.91
20232	22257.29	20104.65
20233	36078.42	33388.31
20234	32507.00	31860.47
20235	820737.38	622498.69
20236	-3637.66	204.46
20237	13678.24	1462.15
20238	45253.41	13734.75
20239	59287.85	31820.85
20240	64991.66	41983.71
20241	64967.31	46446.02
20242	63820.10	47368.09
20243	77666.14	59608.84
20244	100567.09	80932.90
20245	141103.95	120546.05
20246	14740.78	13075.86
20247	27269.54	25271.67
20248	55406.54	54430.84
20249	725114.94	536886.19
20250	-83714.58	1858.56
20251	76489.17	14157.73
20252	238036.42	84399.52
20253	322209.12	175409.06
20254	383243.78	248519.94
20255	392099.47	277714.88
20256	393525.31	289744.59
20257	625091.56	477961.03
20258	1013707.31	797872.69
20259	2624906.50	2181391.75
20260	487613.22	429689.12
20261	718109.62	658211.06
20262	939014.62	907813.06
20264	-29524.32	6042.20
20265	301084.31	53612.67
20266	948001.94	349669.66
20267	1252118.12	723904.62
20268	1387578.25	949378.62
20269	1330122.62	982300.69
20270	1245525.38	951715.69
20271	1824232.75	1436537.88
20272	2775703.25	2255985.50
20274	813988.44	731127.12
20275	1585228.88	1465363.62
20276	2679547.50	2618901.50
20278	-17547.74	245.43
20279	11047.91	1596.73
20280	36351.83	12255.82
20281	54612.22	30062.66
20282	58857.16	38312.11
20283	54490.81	39197.88
20284	52698.75	39418.97
20285	72786.62	56191.66
20286	98010.97	78395.15
20287	139797.89	118546.44
20288	17011.57	14967.06
20289	38091.60	34770.47
20290	87672.66	84179.42
20291	703882.25	548139.81
20292	-4867.42	207.41
20293	13153.80	1764.23
