id	NY AGI of All Returns	Taxable Income of All Returns	Cluster
18774	16815.00	6741.00	5
18775	116714.00	74498.00	5
18777	3495.00	1717.00	5
18778	45435.00	35118.00	5
18779	332680.00	262229.00	1
18780	24364.00	21045.00	5
18781	76115.00	53662.00	5
18782	156092.00	103633.00	5
18783	2135071.00	1287820.00	2
18784	2352.00	1123.00	5
18785	150127.00	104887.00	5
18786	21464.00	11954.28	5
18787	13264.08	5248.19	5
18788	28276.00	23376.00	5
18789	2475.00	1142.00	5
18790	392216.00	268641.00	1
18791	9929.00	6480.00	5
18792	41009.00	5756.00	5
18793	399517.00	338874.00	1
18794	557.00	83.00	5
18795	67400.00	51837.00	5
18796	35702.00	32331.00	5
18797	1419698.00	715820.00	4
18798	7842.00	396.00	5
18799	194310.00	14438.00	5
18800	130232.00	100453.00	5
18801	1111135.12	844715.94	4
18802	1137195.00	775703.00	4
18803	300015.00	195597.00	1
18804	42759.00	2364.00	5
18805	263025.00	7863.00	1
18806	305.00	36.00	5
18807	210915.00	192892.00	1
18808	145136.00	93454.00	5
18809	2573.00	1388.00	5
18810	16613.00	10922.00	5
18811	50962.00	35624.00	5
18812	8746.00	3706.00	5
18813	3707518.00	2461233.00	3
18814	95632.00	53575.00	5
18815	453828.00	42121.00	1
18816	75976.00	40407.00	5
18817	16638.00	12770.00	5
18818	9246.00	6913.00	5
18819	3489.00	2233.00	5
18820	97336.00	76171.00	5
18821	4100.00	2746.00	5
18822	74564.00	66583.00	5
18823	22836.00	13316.00	5
18824	12917.00	2002.00	5
18825	94617.78	68482.32	5
18826	69914.00	46293.00	5
18827	16007.00	11457.00	5
18828	66572.00	42769.00	5
18829	277330.22	271021.72	1
18830	37506.00	25963.00	5
18831	44725.00	35856.00	5
18832	57335.00	51602.00	5
18833	1712087.00	1664619.00	2
18834	105713.00	59713.00	5
18835	1616458.00	532494.00	4
18836	646153.00	433336.00	1
18837	78531.00	24934.00	5
18838	1993.00	1259.00	5
18839	8759.00	1110.00	5
18840	680202.00	466619.00	1
18841	91419.00	60223.00	5
18842	1521706.00	1139019.00	4
18843	10549.00	4371.00	5
18844	20749.00	1158.00	5
18845	747914.00	61921.00	1
18847	1172731.00	856346.00	4
18849	30851.00	25495.00	5
18850	1962.97	1183.07	5
18851	100208.00	56276.00	5
18853	1302107.00	1095481.00	4
18854	273466.00	161344.00	1
18855	999195.00	856076.00	4
18856	368953.00	278323.00	1
18857	91106.00	31040.00	5
18858	26158.00	21525.00	5
18859	18484.00	2051.00	5
